[2022-09-02 20:50:24 : INFO] - Could not find file for image: ID=8946, file=/home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/1-01-01.webp 
[2022-09-02 20:50:35 : INFO] - Could not find file for image: ID=8946, file=/home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/1-01-01.webp 
[2022-09-02 20:50:49 : INFO] - Re_Smush_It_Task server status: Online 
[2022-09-02 20:50:52 : INFO] - Could not find file for image: ID=8946, file=/home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/1-01-01.webp 
[2022-09-02 20:50:52 : INFO] - 
 
[2022-09-02 20:50:52 : INFO] - Header for logs at time:  Fri, 02 Sep 2022 20:50:52 +0000 on https://tathagat.co.in/online 
[2022-09-02 20:50:52 : INFO] - WP: 6.0.2 
[2022-09-02 20:50:52 : INFO] - PHP: 8.0.22 (litespeed, Linux us511.directrouter.com 3.10.0-962.3.2.lve1.5.70.el7.x86_64 #1 SMP Mon May 30 08:45:55 UTC 2022 x86_64) 
[2022-09-02 20:50:52 : INFO] - MySQL: 10.3.25 
[2022-09-02 20:50:52 : INFO] - WPLANG: en_US 
[2022-09-02 20:50:52 : INFO] - Server: LiteSpeed 
[2022-09-02 20:50:52 : INFO] - Outbound connections: N 
[2022-09-02 20:50:52 : INFO] - safe_mode: 0 
[2022-09-02 20:50:52 : INFO] - max_execution_time: 300 
[2022-09-02 20:50:52 : INFO] - memory_limit: 2248M (used: 89M | 91M) 
[2022-09-02 20:50:52 : INFO] - multisite: N 
[2022-09-02 20:50:52 : INFO] - openssl: OpenSSL 1.1.1p  21 Jun 2022 
[2022-09-02 20:50:56 : INFO] - A total of 128 tasks of type smush found and will be processed in this iteration 
[2022-09-02 20:50:56 : DEBUG] - Lock option (updraft_lock_smush, wp_options) was created in the database 
[2022-09-02 20:50:56 : INFO] - Lock (updraft_lock_smush, wp_options) acquired after initialising the database 
[2022-09-02 20:50:56 : INFO] - Processing task with ID : 612, and type 'smush' 
[2022-09-02 20:50:56 : INFO] - Task with ID 612 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2018/08/photo-1512686096451-a15c19314d59-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:56 : INFO] - Processing task with ID : 611, and type 'smush' 
[2022-09-02 20:50:56 : INFO] - Task with ID 611 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2018/08/photo-1461749280684-dccba630e2f6-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:56 : INFO] - Processing task with ID : 584, and type 'smush' 
[2022-09-02 20:50:56 : INFO] - Task with ID 584 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/Screenshot-2022-08-14-at-12.21.35-AM.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:56 : INFO] - Processing task with ID : 544, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 544 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/TG-Logo-BLACK-01-scaled.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 531, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 531 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/Screenshot-2022-08-25-at-3.31.20-AM.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 532, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 532 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/Screenshot-2022-08-25-at-4.04.23-AM.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 533, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 533 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/Screenshot-2022-08-25-at-4.12.26-AM.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 534, and type 'smush' 
